Name,Position Group,Position,Body Weight,Date,Day,Day Name,Week,Squat,Box Squat,Bench,Chin Ups,Opposition,Venue,Opposition Seed,Match Minutes,Result,Total Distance,Total Duration,Distance Zone 2-8 (m),HMLD,High Speed Running,VHSR,Max Speed,Accel Load,Accel Efforts,Accel Distance,Decel Efforts,Decel Distance,Relative Cumulative Mechanical Load (N),Scaled CML (N),Average Force per Effort (N),N/m,Nordic Right Hamstring (N),Nordic Left Hamstring (N),Nordic LvR % Imb,R Hip ABD (N),L Hip ABD (N),ABD LvR % Imb,R Hip ADD (N),L Hip ADD (N),ADD LvR % Imb,R Ankle PF (N),L Ankle PF (N),PF LvR % Imb,R Knee Ext (N),L Knee Ext (N),Knee LvR % Imb,R Neck Flex (N),L Neck Flex (N),Neck LvR % Imb
Ashlee Matapo,Forward,Second Row,,31/05/2025,D4,Saturday,PS3,,,,,,,,,,19:42:14,1:24:35,1934.58,315.14,34.65,0,6.00012,2089.656,62,282.63,59,74.77,29026,2902.6,239.8843,7.114527819,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,2/06/2025,D1,Monday,PS4,,148,,,,,,,,3:33:07,1:53:56,3840.77,640.24,158.57,0,6.12282,2501.436,67,268.02,42,62.82,26450,2645,242.6606,3.895349556,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,3/06/2025,D2,Tuesday,PS4,,,,,,,,,,5:08:10,2:07:36,1253.02,179.51,45.6,0,6.06424,2015.388,28,144.49,22,41.84,12236,1223.6,244.72,2.966868354,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,5/06/2025,D3,Thursday,PS4,,,,,,,,,,7:58:05,2:33:32,3077.26,682.97,315.74,2.69,7.00779,2177.933,70,281.84,41,41.62,26956,2695.6,242.8469,4.175126062,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,7/06/2025,D4,Saturday,PS4,,,,,,,,,,15:46:05,1:40:02,3348.45,258.26,44.7,0,5.83503,2066.413,34,191.45,42,53.42,19504,1950.4,256.6316,3.098993161,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,9/06/2025,D1,Monday,PS5,,,,,,,,,,20:21:07,1:34:25,4019.94,583.02,230.02,0,6.84196,2417.163,64,215.52,38,54.44,24012,2401.2,235.4118,3.352765934,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,10/06/2025,D2,Tuesday,PS5,,,,,,,,,,16:58:05,1:27:07,2294.96,302.74,53,0,5.6984,1547.021,43,220.84,17,14.31,14720,1472,245.3333,3.146168375,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,12/06/2025,D3,Thursday,PS5,,,,,,,,,,10:29:17,3:19:50,3467.64,943.26,371.98,0,6.73215,3718.106,130,567.76,88,84.04,55108,5510.8,252.789,5.952835542,398,426,3.40%,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,14/06/2025,D4,Saturday,PS5,,,,,,,,,,22:39:22,1:39:05,1840.68,249.72,53.23,0,5.68694,1266.907,41,158.32,32,34.42,17756,1775.6,243.2329,4.902339738,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,92.3,16/06/2025,D1,Monday,PS6,,165,,,,,,,,19:07:41,1:48:06,1498.4,178.78,37.69,0,5.76627,1776.496,30,167.86,30,42.45,14168,1416.8,236.1333,3.314309428,,,,,,,502.5,480.75,2.20%,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,17/06/2025,D2,Tuesday,PS6,,,,,,,,,,8:36:58,1:31:54,1903.62,297.82,93.49,0,6.50568,1439.625,44,165.11,43,47.12,21206,2120.6,243.7471,5.359978708,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,19/06/2025,D3,Thursday,PS6,,,,,,,,,,4:55:12,1:47:32,2885.76,709.88,320.79,10.6,7.09437,2027.854,76,310.68,51,60.02,31464,3146.4,247.748,5.432128179,410,395,1.90%,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,21/06/2025,D4,Saturday,PS6,,,,,,,,,,3:27:22,1:55:00,1676.35,265.29,34.79,0,5.34613,1342.489,40,176.35,36,33.96,18952,1895.2,249.3684,5.141416071,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,93,24/06/2025,D1,Tuesday,PS7,,,,,,,,,,11:16:48,1:51:54,2867.52,627.57,173.14,0,6.53387,2195.612,115,459.41,85,77.41,48300,4830,241.5,8.641248634,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,26/06/2025,D2,Thursday,PS7,,186,,,,,,,,18:01:26,6:39:55,2029.06,549.48,166.635,6.015,7.11979,1576.075,53,236.23,41,46.22,23414,2341.4,124.5426,5.271344567,306,275,5.30%,,,,,,,,,,,,,,,
