Name,"Position Name",Date,"Day Name","Total Duration","Total Distance (m)","Distance Zone 2-8 (m)","HMLD (Gen 2)","High Speed Running","V High Speed Running","Maximum Velocity (m/s)","Acceleration B1-3 Total Efforts (Gen 2)","Acceleration B1-3 Distance (Gen 2) (m)","Deceleration B1-3 Total Efforts (Gen 2)","Deceleration B1-3 Distance (Gen 2) (m)",N/m
"Avery-Rose Carmont - 07/06/2025",Backs,07/06/2025,Saturday,01:40:02,6324.62625,3523.84002,509.22999,144.62,0,6.67777,87,358.41,69,85.05,4.72044
"Avery-Rose Carmont - 09/06/2025",Backs,09/06/2025,Monday,01:34:25,7531.21625,4341.82997,805.33,359.79001,17.72,7.18868,75,280.39,68,76.07,3.43437
"Avery-Rose Carmont - 10/06/2025",Backs,10/06/2025,Tuesday,01:27:07,5335.67432,2992.25,469.14,118.55,0,6.13667,61,199.37,32,25.6,3.18142
"Avery-Rose Carmont - 12/06/2025",Backs,12/06/2025,Thursday,03:19:50,9299.9556,3604.86998,824.49,455.42,5.38,7.02973,88,337.69,68,57.89,3.19894
"Avery-Rose Carmont - 14/06/2025",Backs,14/06/2025,Saturday,01:39:05,3988.00542,2273.3,296.11001,120.76,0,6.90205,36,128.31,33,38.16,3.1858
"Avery-Rose Carmont - 16/06/2025",Backs,16/06/2025,Monday,01:48:06,4685.44678,1955.43991,383.5,103.22,11.26,7.08549,68,245.97001,40,59.48,4.15329
"Avery-Rose Carmont - 17/06/2025",Backs,17/06/2025,Tuesday,01:31:54,4471.72394,2074.58999,475.86999,277.36,14.33,7.31196,51,204.82,34,35.13,3.65519
"Avery-Rose Carmont - 19/06/2025",Backs,19/06/2025,Thursday,01:47:32,6391.13074,3223.17997,899.87002,395.65,53.16,7.57716,101,420.99,81,91.03,5.36681
"Avery-Rose Carmont - 21/06/2025",Backs,21/06/2025,Saturday,01:55:00,4538.10547,2251.73002,400.85001,145.68,0,6.78775,51,205.37,45,46.56,4.04905
"Avery-Rose Carmont - 24/06/2025",Backs,24/06/2025,Tuesday,01:51:54,6073.89832,2918.99998,557.64999,180.26,20.18,7.45696,87,388.96,63,83.8,4.52922
"Avery-Rose Carmont - 26/06/2025",Backs,26/06/2025,Thursday,01:22:20,4240.32275,1919.44998,636.77002,340.12,89.08,7.66485,72,332.27,65,66.73,6.57025
"Avery-Rose Carmont - 30/06/2025",Backs,30/06/2025,Monday,02:10:33,3881.3623,1365.72999,267.82999,112.75,20.69,7.26262,45,190.37999,30,47.68,3.48975
"Avery-Rose Carmont - 01/07/2025",Backs,01/07/2025,Tuesday,01:44:00,5091.03906,1995.36997,511.39001,222.28,0,6.74583,59,217.82,52,65.82,4.16614
"Avery-Rose Carmont - 03/07/2025",Backs,03/07/2025,Thursday,01:32:00,5449.7041,2703.54,386.03,312.99999,6.26,7.07642,40,140.75,31,32.03,2.33132
"Avery-Rose Carmont - 05/07/2025",Backs,05/07/2025,Saturday,00:58:04,3799.03247,2312.23,493.35999,465.21999,9.75,7.26057,39,180.38,38,61.76,3.84177
